Year	LATITUDE	LONGITUDE	MONTH	YEAR	RH_2M_%	PPFD_UMOLS_M-2_S-1	AIRTEMP_2M_C	EXTENT
								
2013	68.01	-146.9889	6	2013	525	525	525	340.804
2013	68.01	-146.9889	7	2013	744	744	744	252.082
2013	68.01	-146.9889	8	2013	744	744	744	186.419
2013	68.01	-146.9889	9	2013	720	720	720	156.248
2013	68.01	-146.9889	10	2013	744	744	744	231.1
2013	68.01	-146.9889	11	2013	720	720	720	298.171
2013	68.01	-146.9889	12	2013	744	744	744	377.712
2014	68.01	-146.9889	1	2014	744	744	744	423.072
2014	68.01	-146.9889	2	2014	672	672	672	403.692
2014	68.01	-146.9889	3	2014	744	744	744	457.483
2014	68.01	-146.9889	4	2014	720	720	720	422.636
2014	68.01	-146.9889	5	2014	744	744	744	393.722
2014	68.01	-146.9889	6	2014	720	720	720	330.978
2014	68.01	-146.9889	7	2014	744	744	744	251.362
2014	68.01	-146.9889	8	2014	744	744	744	188.414
2014	68.01	-146.9889	9	2014	720	720	720	156.598
2014	68.01	-146.9889	10	2014	744	744	744	224.206
2014	68.01	-146.9889	11	2014	720	720	720	303.438
2014	68.01	-146.9889	12	2014	744	744	744	382.93
2015	68.01	-146.9889	1	2015	744	744	744	421.672
2015	68.01	-146.9889	2	2015	672	672	672	403.218
2015	68.01	-146.9889	3	2015	744	744	744	445.486
2015	68.01	-146.9889	4	2015	720	720	720	416.795
2015	68.01	-146.9889	5	2015	744	744	744	386.511
2015	68.01	-146.9889	6	2015	719	719	719	326.367
2015	68.01	-146.9889	7	2015	744	744	744	259.714
2015	68.01	-146.9889	8	2015	744	744	744	173.561
2015	68.01	-146.9889	9	2015	720	720	720	138.473
2015	68.01	-146.9889	10	2015	744	744	744	215.953
2015	68.01	-146.9889	11	2015	720	720	720	295.385
2015	68.01	-146.9889	12	2015	744	744	744	373.388
2016	68.01	-146.9889	1	2016	744	744	744	417.648
2016	68.01	-146.9889	2	2016	696	696	696	412.1
2016	68.01	-146.9889	3	2016	744	744	744	446.551
2016	68.01	-146.9889	4	2016	720	720	720	410.819
2016	68.01	-146.9889	5	2016	744	744	744	368.896
2016	68.01	-146.9889	6	2016	720	720	720	310.577
2016	68.01	-146.9889	7	2016	744	744	744	244.711
2016	68.01	-146.9889	8	2016	576	576	576	167.021
								135.152
								187.146
								259.027
								355.506
								408.396
								395.129
								442.463
								385.99
